gvkey,conm,tic,cusip,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001428,AMERICAN CREDIT,ACR.3,025285107,C,00X,LC,28994,25620,19620702,19650128
001428,AMERICAN CREDIT,ACR.3,025285107,P,01,LC,28994,25620,19650129,19700630
001429,AMERICAN CRYSTAL SUGAR CO,2388B,025303108,P,01,LU,10276,22179,19730131,19730228
001430,AMERICAN CYANAMID CO,ACY.1,025321100,P,01,LU,23341,20076,19620131,19941130
001430,AMERICAN CYANAMID CO,ACY.1,025321100,C,00X,LU,23341,20076,19500101,19620130
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,P,01,LC,24109,20077,19620131,E
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,C,00X,LC,24109,20077,19510101,19620130
001447,AMERICAN EXPRESS CO,AXP,025816109,C,01,LU,59176,90,19721214,E
001449,AFLAC INC,AFL,001055102,P,01,LU,57904,92,19730823,E
001465,AMERICAN GENERAL CORP,AGC.1,026351106,P,01,LU,48397,20082,19710129,20010928
001465,AMERICAN GENERAL CORP,AGC.1,026351106,C,00X,LC,48397,20082,19710101,19710128
001468,AMERICAN GREETINGS  -CL A,AM.1,026375105,P,01,LU,13056,121,19721214,20130830
001478,WYETH,WYE,983024100,C,00X,LC,15667,20086,19500101,19620130
001478,WYETH,WYE,983024100,P,01,LC,15667,20086,19620131,20091015
001481,AMERICAN HOSPITAL SUPPLY,AHS.1,026681106,P,01,LU,27190,23459,19620131,19851129
001485,AMERITECH CORP,AIT.1,030954101,P,01,LU,65859,20088,19840216,19991008
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,P,01,LC,66800,137,19721214,E
001489,AMERICAN INVESTMENT CO,AIC.2,026879106,C,00X,LU,21194,23053,19500101,19620130
001489,AMERICAN INVESTMENT CO,AIC.2,026879106,P,01,LU,21194,23053,19620131,19801128
001517,AMERICAN MOTORS CORP,AMO.1,027627108,P,01,LU,10321,22184,19620131,19870731
001517,AMERICAN MOTORS CORP,AMO.1,027627108,C,00X,LU,10321,22184,19491001,19620130
001528,AMERICAN NATURAL RESOURCES,ANR.2,028609105,C,00X,LU,24141,23259,19510101,19620130
001528,AMERICAN NATURAL RESOURCES,ANR.2,028609105,P,01,LU,24141,23259,19620131,19850531
001567,TRANE INC,TT.2,892893108,C,02,LC,81285,30847,19950203,20080605
001567,TRANE INC,TT.2,892893108,C,00X,LC,10372,22187,19500101,19620130
001567,TRANE INC,TT.2,892893108,C,02,LC,10372,22187,19620131,19880701
001572,AMERICAN STORES CO  -OLD,ASE.2,030095103,P,01,LU,17558,22787,19620131,19790731
001572,AMERICAN STORES CO  -OLD,ASE.2,030095103,C,00X,LU,17558,22787,19500401,19620130
001573,AMERICAN STORES CO,ASC.1,030096101,P,01,LC,44652,20101,19670628,19990623
001581,AT&T CORP,T.2,001957505,C,00X,LC,10401,20103,19500101,19620130
001581,AT&T CORP,T.2,001957505,P,01,LU,10401,20103,19620131,20051130
001596,AMERIFIN CORP,AFN.3,030901102,P,01,LU,25873,23368,19620131,19841017
001598,AMETEK INC,AME,031100100,P,01,LC,85257,32054,19970808,E
001598,AMETEK INC,AME,031100100,P,01,LC,10460,20188,19620131,19970731
001598,AMETEK INC,AME,031100100,C,00X,LC,10460,20188,19500101,19620130
001602,AMGEN INC,AMGN,031162100,P,01,LU,14008,216,19830617,E
001608,AMP INC,AMP.2,031897101,P,01,LU,27051,23449,19620131,19990401
001609,AMOCO CORP,AN.2,031905102,C,00X,LU,19553,20191,19500101,19620130
001609,AMOCO CORP,AN.2,031905102,P,01,LU,19553,20191,19620131,19981231
001619,AMSOUTH BANCORPORATION,ASO.1,032165102,C,01,LU,62770,25,19721214,20061130
001620,AMSTAR CORP,4072A,032173007,P,01,LU,10479,22194,19620131,19840208
001620,AMSTAR CORP,4072A,032173007,C,00X,LU,10479,22194,19500101,19620130
001623,AMSTED INDUSTRIES,4936C,032177107,P,01,LU,10487,22195,19620131,19860630
001623,AMSTED INDUSTRIES,4936C,032177107,C,00X,LU,10487,22195,19491001,19620130
001628,ANACONDA CO,A.2,032393100,C,00X,LC,10495,22196,19500101,19620130
001628,ANACONDA CO,A.2,032393100,P,01,LC,10495,22196,19620131,19761231
001632,ANALOG DEVICES,ADI,032654105,P,01,LC,60871,282,19721214,E
001651,ANDREW CORP,ANDW,034425108,P,01,LU,14323,272,19800619,20071231
001661,NABORS INDUSTRIES LTD,NBR,G6359F103,P,01,LC,29102,20201,19680131,E
001663,ANHEUSER-BUSCH COS INC,BUD.2,035229103,P,01,LC,59184,29,19721214,20081117
001678,APACHE CORP,APA,037411105,P,01,LU,39490,20204,19640131,E
001690,APPLE INC,AAPL,037833100,P,01,LU,14593,7,19801212,E
001704,APPLIED MATERIALS INC,AMAT,038222105,P,01,LU,14702,194,19721214,E
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,C,00X,LC,10516,20207,19501230,19620130
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,P,01,LC,10516,20207,19620131,E
001738,WASHINGTON MUTUAL FINL CORP,WM1,939320008,P,01,LC,24088,23256,19620131,19700130
001738,WASHINGTON MUTUAL FINL CORP,WM1,939320008,P,01,LC,24088,23256,19710129,19790126
001738,WASHINGTON MUTUAL FINL CORP,WM1,939320008,C,00X,LC,24088,23256,19490801,19620130
001746,NORAM ENERGY CORP,CNP2,655419000,P,01,LU,29196,20211,19620702,19970806
001753,ARMADA CORP,3AMDA,042083105,C,00X,LU,19764,10300,19500101,19631230
001753,ARMADA CORP,3AMDA,042083105,P,01,LU,19764,10300,19631231,19900831
001755,ARMCO INC,AS.,042170100,P,01,LU,17566,20214,19620131,19991029
001755,ARMCO INC,AS.,042170100,C,00X,LU,17566,20214,19500101,19620130
001758,ARMOUR & CO,G2,042303008,P,01,LC,10524,22198,19640331,19701228
001762,ARMSTRONG HOLDINGS INC,3ACKH,042384107,C,00X,LU,19692,20215,19500101,19620130
