gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
003905,000003,20090609,20120930,S&P 500 Comp-Ltd,I0003,ADTALEM GLOBAL EDUCATION INC,ATGE,00737L103
160256,000003,20090630,20130430,S&P 500 Comp-Ltd,I0003,METROPCS COMMUNICATIONS INC,PCS,591708102
011399,000003,20090701,,S&P 500 Comp-Ltd,I0003,WESTERN DIGITAL CORP,WDC,958102105
066446,000003,20090701,,S&P 500 Comp-Ltd,I0003,QUANTA SERVICES INC,PWR,74762E102
122841,000003,20090727,,S&P 500 Comp-Ltd,I0003,RED HAT INC,RHT,756577102
004510,000003,20090819,,S&P 500 Comp-Ltd,I0003,FMC CORP,FMC,302491303
183257,000003,20090901,20150317,S&P 500 Comp-Ltd,I0003,CAREFUSION CORP,CFN,14170T101
012950,000003,20090909,20160522,S&P 500 Comp-Ltd,I0003,AIRGAS INC,ARG,009363102
175404,000003,20091016,20170319,S&P 500 Comp-Ltd,I0003,FIRST SOLAR INC,FSLR,336433107
119314,000003,20091106,,S&P 500 Comp-Ltd,I0003,PRICELINE GROUP INC,PCLN,741503403
009248,000003,20091221,,S&P 500 Comp-Ltd,I0003,ROSS STORES INC,ROST,778296103
179534,000003,20091221,,S&P 500 Comp-Ltd,I0003,VISA INC,V,92826C839
165123,000003,20091221,20130922,S&P 500 Comp-Ltd,I0003,LEIDOS HOLDINGS INC,LDOS,525327102
003107,000003,20091221,20140401,S&P 500 Comp-Ltd,I0003,CLEVELAND-CLIFFS INC,CLF,185899101
180833,000003,20091221,20170618,S&P 500 Comp-Ltd,I0003,MEAD JOHNSON NUTRITION CO,MJN,582839106
024925,000003,20091223,,S&P 500 Comp-Ltd,I0003,ROPER TECHNOLOGIES INC,ROP,776696106
135990,000003,20100129,,S&P 500 Comp-Ltd,I0003,NRG ENERGY INC,NRG,629377508
029150,000003,20100208,20170319,S&P 500 Comp-Ltd,I0003,URBAN OUTFITTERS INC,URBN,917047102
002176,000003,20100216,,S&P 500 Comp-Ltd,I0003,BERKSHIRE HATHAWAY,BRK.B,084670702
005581,000003,20100301,,S&P 500 Comp-Ltd,I0003,HELMERICH & PAYNE,HP,423452101
