Date,Open,High,Low,Close,Adj Close,Volume
2018-10-30,263.670013,268.119995,263.119995,267.769989,267.769989,157116000
2018-10-31,270.649994,273.230011,270.119995,270.630005,270.630005,128296300
2018-11-01,271.600006,273.730011,270.380005,273.510010,273.510010,99495000
2018-11-02,274.750000,275.230011,269.589996,271.890015,271.890015,122634100
2018-11-05,272.440002,274.010010,271.350006,273.390015,273.390015,65622500
2018-11-06,273.320007,275.299988,273.250000,275.119995,275.119995,60085900
2018-11-07,277.559998,281.100006,277.079987,281.010010,281.010010,102752100
2018-11-08,280.109985,281.220001,279.220001,280.500000,280.500000,65584900
2018-11-09,279.029999,279.239990,276.179993,277.760010,277.760010,98812600
2018-11-12,277.190002,277.459991,271.989990,272.570007,272.570007,99673600
2018-11-13,273.089996,275.329987,271.250000,272.059998,272.059998,98176600
2018-11-14,274.160004,274.609985,268.450012,270.200012,270.200012,125335900
2018-11-15,268.779999,273.540009,267.010010,273.019989,273.019989,135101400
2018-11-16,271.790009,274.750000,271.209991,273.730011,273.730011,126668000
2018-11-19,273.049988,273.380005,268.070007,269.100006,269.100006,103061700
2018-11-20,265.359985,267.000000,263.149994,264.119995,264.119995,136021300
2018-11-21,265.859985,267.149994,265.010010,265.019989,265.019989,75563700
2018-11-23,263.179993,264.820007,263.070007,263.250000,263.250000,42807900
2018-11-26,265.779999,267.750000,265.339996,267.500000,267.500000,79981400
2018-11-27,266.339996,268.399994,265.660004,268.399994,268.399994,75502400
2018-11-28,269.600006,274.579987,268.329987,274.579987,274.579987,127231500
2018-11-29,273.709991,275.549988,272.429993,273.950012,273.950012,82346420
