Date,ShortVolume,ShortExemptVolume,TotalVolume
2018-11-26,9780559.0,753.0,16602815.0
2018-11-23,4383064.0,698.0,11847353.0
2018-11-21,7730668.0,1340.0,15539418.0
2018-11-20,20033279.0,11388.0,27701604.0
2018-11-19,9815152.0,7956.0,16252212.0
2018-11-16,14905498.0,5496.0,30103641.0
2018-11-15,14173973.0,4870.0,23041545.0
2018-11-14,13721995.0,19722.0,21440912.0
2018-11-13,8054208.0,1249.0,13757849.0
2018-11-12,10272015.0,6871.0,15385581.0
2018-11-09,12460079.0,2928.0,19329606.0
2018-11-08,5999146.0,3841.0,10337158.0
2018-11-07,11629013.0,1694.0,18727248.0
2018-11-06,5663746.0,1751.0,8862058.0
2018-11-05,7306889.0,586.0,11667451.0
2018-11-02,8358558.0,7749.0,18756637.0
2018-11-01,12999709.0,604.0,25362817.0
2018-10-31,12613549.0,4225.0,19680313.0
2018-10-30,16836410.0,12363.0,24086027.0
2018-10-29,24776180.0,6391.0,32821802.0
2018-10-26,18691943.0,6407.0,27700395.0
2018-10-25,15702957.0,3571.0,26802325.0
2018-10-24,18422662.0,9035.0,27945059.0
2018-10-23,9747475.0,8902.0,20179203.0
2018-10-22,7186699.0,3986.0,13622923.0
2018-10-19,18616217.0,1843.0,37002087.0
2018-10-18,16524591.0,1311.0,23578904.0
2018-10-17,10359011.0,1772.0,20433925.0
2018-10-16,15964433.0,2924.0,28666634.0
2018-10-15,9112024.0,2306.0,20011435.0
2018-10-12,16769552.0,4706.0,38303851.0
2018-10-11,28339139.0,11383.0,54735203.0
2018-10-10,24775320.0,17683.0,39860646.0
2018-10-09,6239515.0,520.0,11132202.0
2018-10-08,10406044.0,661.0,13943714.0
2018-10-05,11393465.0,271.0,17243994.0
2018-10-04,13369062.0,310.0,21203433.0
2018-10-03,5778822.0,2070.0,11975848.0
2018-10-02,4020557.0,706.0,7771585.0
2018-10-01,6457731.0,1805.0,11820647.0
2018-09-28,5678036.0,0.0,9258886.0
2018-09-27,2515721.0,20.0,10169330.0
2018-09-26,7166396.0,2285.0,11993529.0
2018-09-25,4177063.0,0.0,9004622.0
2018-09-24,5289031.0,153.0,8667748.0
2018-09-21,10374594.0,100.0,42256521.0
2018-09-20,18269607.0,19285.0,33525895.0
2018-09-19,6747580.0,0.0,10624178.0
2018-09-18,9789583.0,800.0,14440838.0
2018-09-17,12236300.0,4488.0,18692438.0
2018-09-14,6357208.0,150.0,11117155.0
2018-09-13,6061308.0,223.0,8866656.0
2018-09-12,5328361.0,0.0,11352315.0
2018-09-11,4309772.0,159.0,8174854.0
2018-09-10,6293035.0,3.0,10846736.0
2018-09-07,7081013.0,1000.0,11083940.0
2018-09-06,6515655.0,801.0,9071695.0
2018-09-05,9646089.0,845.0,13983537.0
2018-09-04,7056874.0,8070.0,11138887.0
2018-08-31,6922576.0,37036.0,13725704.0
2018-08-30,5447732.0,143.0,12235180.0
2018-08-29,9468902.0,1450.0,17892110.0
2018-08-28,6392227.0,347.0,11340619.0
2018-08-27,8969734.0,10061.0,16948984.0
2018-08-24,5282265.0,5009.0,8831162.0
2018-08-23,4942986.0,388.0,9672089.0
2018-08-22,3913784.0,154.0,9920484.0
2018-08-21,7535903.0,3886.0,11693449.0
2018-08-20,3510014.0,1334.0,9629495.0
2018-08-17,7434966.0,2448.0,15875174.0
2018-08-16,10229355.0,7208.0,15176331.0
2018-08-15,13783688.0,4316.0,20026634.0
2018-08-14,4226374.0,1754.0,7309137.0
2018-08-13,4971538.0,4319.0,9600691.0
2018-08-10,5784355.0,2433.0,15004450.0
2018-08-09,4883999.0,1906.0,9327321.0
2018-08-08,3716744.0,10.0,7321315.0
2018-08-07,4925468.0,1650.0,11009360.0
2018-08-06,4895229.0,1215.0,10642162.0
2018-08-03,5522518.0,11684.0,9488983.0
2018-08-02,4546996.0,3401.0,10637009.0
2018-08-01,4496090.0,1186.0,10508274.0
2018-07-31,4793766.0,5296.0,10146957.0
2018-07-30,5839006.0,26681.0,10709242.0
2018-07-27,7939217.0,3673.0,16110227.0
2018-07-26,5844314.0,1723.0,11489847.0
2018-07-25,10012477.0,331.0,16715158.0
2018-07-24,7315674.0,602.0,13222348.0
2018-07-23,6047438.0,3366.0,10748366.0
2018-07-20,8148671.0,7600.0,22786117.0
2018-07-19,4957865.0,6385.0,9632651.0
2018-07-18,4081550.0,2463.0,7777186.0
2018-07-17,3394643.0,1150.0,11535157.0
2018-07-16,5325638.0,1870.0,8541724.0
2018-07-13,3588334.0,375.0,7827184.0
2018-07-11,7877348.0,1471.0,12899024.0
2018-07-10,6356575.0,2613.0,14342201.0
2018-07-09,5839654.0,3341.0,11969233.0
2018-07-06,6652321.0,13700.0,12157368.0
2018-07-05,8075954.0,3270.0,14045308.0
2018-07-03,5521620.0,1687.0,10826658.0
2018-07-02,8808877.0,3428.0,12260034.0
2018-06-28,9349839.0,8909.0,14121855.0
2018-06-27,10900902.0,32618.0,19529256.0
2018-06-26,5566548.0,4997.0,10968007.0
2018-06-25,16257621.0,8641.0,25965877.0
2018-06-22,3678136.0,77.0,7234468.0
2018-06-21,9397358.0,9767.0,14749604.0
2018-06-20,7567477.0,46958.0,13020795.0
2018-06-19,11507274.0,6151.0,17100372.0
2018-06-18,6381325.0,5217.0,12535533.0
2018-06-15,14910737.0,1551.0,40909932.0
2018-06-14,10014426.0,2768.0,17096133.0
2018-06-13,13954857.0,2362.0,21027153.0
2018-06-12,18107800.0,651.0,26085595.0
2018-06-11,9525019.0,1933.0,13625993.0
2018-06-08,5110004.0,272.0,11437043.0
2018-06-07,9737119.0,1243.0,17132207.0
2018-06-06,8242067.0,3587.0,11479832.0
2018-06-05,6443840.0,2045.0,10358228.0
2018-06-04,6289216.0,4363.0,10203616.0
