Date,ShortVolume,ShortExemptVolume,TotalVolume
2018-04-24,12415.0,0.0,68261.0
2018-04-23,20585.0,0.0,81356.0
2018-04-20,83473.0,0.0,152617.0
2018-04-19,160423.0,0.0,308329.0
2018-04-18,87292.0,18542.0,141483.0
2018-04-17,43354.0,0.0,90613.0
2018-04-16,30909.0,0.0,63594.0
2018-04-13,48173.0,0.0,72662.0
2018-04-12,75451.0,9.0,166691.0
2018-04-11,129051.0,0.0,166579.0
2018-04-10,107419.0,0.0,230327.0
2018-04-09,93270.0,1684.0,172976.0
2018-04-06,282043.0,6925.0,505158.0
2018-04-05,67427.0,200.0,122354.0
2018-04-04,18452.0,0.0,52857.0
2018-04-03,78638.0,0.0,96759.0
2018-04-02,102209.0,0.0,131980.0
2018-03-29,101221.0,0.0,162314.0
2018-03-28,85415.0,903.0,143816.0
2018-03-27,48871.0,0.0,76946.0
2018-03-26,28745.0,0.0,53641.0
2018-03-23,54276.0,0.0,63740.0
2018-03-22,35854.0,0.0,82491.0
2018-03-21,52086.0,0.0,85193.0
2018-03-20,87137.0,0.0,146954.0
2018-03-19,33351.0,0.0,86493.0
2018-03-16,16602.0,0.0,49795.0
2018-03-15,9659.0,0.0,32106.0
2018-03-14,32248.0,15.0,58972.0
2018-03-13,15298.0,0.0,48832.0
2018-03-12,102507.0,4.0,190607.0
2018-03-09,61650.0,0.0,119314.0
2018-03-08,42671.0,0.0,66794.0
2018-03-07,23690.0,0.0,71990.0
2018-03-06,113975.0,505.0,146993.0
2018-03-05,35173.0,0.0,66517.0
2018-03-02,30566.0,0.0,47830.0
2018-03-01,137147.0,0.0,273729.0
2018-02-28,100575.0,3748.0,221691.0
2018-02-27,61960.0,0.0,145612.0
2018-02-26,166771.0,4563.0,255172.0
2018-02-23,91362.0,0.0,198200.0
2018-02-22,190922.0,3430.0,360891.0
2018-02-21,28587.0,0.0,67178.0
2018-02-20,66678.0,0.0,106989.0
2018-02-16,98580.0,4039.0,172358.0
2018-02-15,172124.0,65.0,335817.0
2018-02-14,237546.0,0.0,484504.0
2018-02-13,187144.0,893.0,448091.0
2018-02-12,223834.0,0.0,388088.0
2018-02-09,81060.0,0.0,138825.0
2018-02-08,19229.0,0.0,38080.0
2018-02-07,43219.0,0.0,92022.0
2018-02-06,68824.0,0.0,104113.0
2018-02-05,69979.0,0.0,172494.0
2018-02-02,75156.0,201.0,153343.0
2018-02-01,58524.0,0.0,83865.0
2018-01-31,213661.0,3900.0,454607.0
2018-01-30,152428.0,29.0,327279.0
2018-01-29,424303.0,12165.0,1048851.0
2018-01-26,405385.0,20043.0,1431050.0
2018-01-25,1579123.0,4088.0,3106223.0
2018-01-24,110801.0,900.0,163701.0
