Date,Value
1965-12-31,3153917.0
1965-09-30,3064137.0
1965-06-30,2979428.0
1965-03-31,2972921.0
1964-12-31,2925741.0
1964-09-30,2872519.0
1964-06-30,2819283.0
1964-03-31,2765504.0
1963-12-31,2715043.0
1963-09-30,2711133.0
1963-06-30,2661758.0
1963-03-31,2620080.0
1962-12-31,2582854.0
1962-09-30,2470376.0
1962-06-30,2424728.0
1962-03-31,2512435.0
1961-12-31,2498159.0
1961-09-30,2435125.0
1961-06-30,2394416.0
1961-03-31,2365534.0
1960-12-31,2314341.0
1960-09-30,2255644.0
1960-06-30,2255688.0
1960-03-31,2230827.0
1959-12-31,2221529.0
1959-09-30,2181076.0
1959-06-30,2161639.0
1959-03-31,2126899.0
1958-12-31,2104115.0
1958-09-30,2068101.0
1958-06-30,2010443.0
1958-03-31,1979709.0
1957-12-31,1947197.0
1957-09-30,1927366.0
1957-06-30,1925810.0
1957-03-31,1883629.0
1956-12-31,1869599.0
1956-09-30,1826400.0
1956-06-30,1804409.0
1956-03-31,1789013.0
1955-12-31,1744504.0
1955-09-30,1718448.0
1955-06-30,1673782.0
1955-03-31,1631646.0
1954-12-31,1606805.0
1954-09-30,1584313.0
1954-06-30,1544649.0
1954-03-31,1519163.0
1953-12-31,1496504.0
1953-09-30,1472291.0
1953-06-30,1455080.0
1953-03-31,1448333.0
1952-12-31,1435758.0
1952-09-30,1427354.0
1952-06-30,1411522.0
1952-03-31,1384781.0
1951-12-31,1366208.0
1950-12-31,1248349.0
1949-12-31,1142506.0
1948-12-31,1092148.0
1947-12-31,1030689.0
1946-12-31,922676.0
1945-12-31,837211.0
